Accession,Main gene name,Main protein name,Other gene names,Other protein names
Q9P2D1,CHD7,CHD7_HUMAN,KIAA1416,Chromodomain-helicase-DNA-binding protein 7; ATP-dependent helicase CHD7
Q13439,GOLGA4,GOGA4_HUMAN,,Golgin subfamily A member 4; Trans-Golgi p230; Golgin-245; Protein 72.1; 256 kDa golgin
Q9UEY8,ADD3,ADDG_HUMAN,ADDL,Gamma-adducin; Adducin-like protein 70
Q9BW19,KIFC1,KIFC1_HUMAN,HSET; KNSL2,Kinesin-like protein KIFC1; Kinesin-like protein 2; Kinesin-related protein HSET
P43243,MATR3,MATR3_HUMAN,KIAA0723,Matrin-3
P33992,MCM5,MCM5_HUMAN,CDC46,DNA replication licensing factor MCM5; CDC46 homolog; P1-CDC46
Q96T58,SPEN,MINT_HUMAN,KIAA0929; MINT; SHARP,Msx2-interacting protein; SPEN homolog; SMART/HDAC1-associated repressor protein
Q5UIP0,RIF1,RIF1_HUMAN,,Telomere-associated protein RIF1; Rap1-interacting factor 1 homolog
Q96GD4,AURKB,AURKB_HUMAN,STK5; AIM1; AIRK2; STK1; STK12; ARK2; AIK2,Aurora kinase B; Aurora- and IPL1-like midbody-associated protein 1; Aurora 1; STK-1; Aurora/IPL1-related kinase 2; Serine/threonine-protein kinase aurora-B; Serine/threonine-protein kinase 12; Serine/threonine-protein kinase 5
Q9NXE8,CWC25,CWC25_HUMAN,CCDC49,Pre-mRNA-splicing factor CWC25 homolog; Spliceosome-associated protein homolog CWC25; Coiled-coil domain-containing protein 49
Q96PK6,RBM14,RBM14_HUMAN,SIP,RNA-binding protein 14; RNA-binding motif protein 14; RRM-containing coactivator activator/modulator; Synaptotagmin-interacting protein; Paraspeckle protein 2
Q13907,IDI1,IDI1_HUMAN,,Isopentenyl-diphosphate Delta-isomerase 1; Isopentenyl pyrophosphate isomerase 1
Q9H8G2,CAAP1,CAAP1_HUMAN,C9orf82; CAAP,Caspase activity and apoptosis inhibitor 1; Conserved anti-apoptotic protein
O75151,PHF2,PHF2_HUMAN,CENP-35; KIAA0662,Lysine-specific demethylase PHF2; PHD finger protein 2; GRC5
Q16143,SNCB,SYUB_HUMAN,,Beta-synuclein
P52272,HNRNPM,HNRPM_HUMAN,HNRPM; NAGR1,Heterogeneous nuclear ribonucleoprotein M
Q15648,MED1,MED1_HUMAN,CRSP200; PBP; CRSP1; TRIP2; ARC205; DRIP205; TRAP220; PPARGBP; RB18A; PPARBP; DRIP230,Mediator of RNA polymerase II transcription subunit 1; Mediator complex subunit 1; Peroxisome proliferator-activated receptor-binding protein; Thyroid hormone receptor-associated protein complex 220 kDa component; Thyroid receptor-interacting protein 2; Vitamin D receptor-interacting protein complex component DRIP205; p53 regulatory protein RB18A; Activator-recruited cofactor 205 kDa component
Q16204,CCDC6,CCDC6_HUMAN,D10S170; TST1,Coiled-coil domain-containing protein 6; Papillary thyroid carcinoma-encoded protein; Protein H4
Q9Y2T7,YBX2,YBOX2_HUMAN,CSDA3; MSY2,Y-box-binding protein 2; Germ cell-specific Y-box-binding protein; MSY2 homolog; Contrin; DNA-binding protein C
Q86WB0,ZC3HC1,NIPA_HUMAN,NIPA; HSPC216,Nuclear-interacting partner of ALK; Nuclear-interacting partner of anaplastic lymphoma kinase; Zinc finger C3HC-type protein 1
P08631,HCK,HCK_HUMAN,,Tyrosine-protein kinase HCK; Hematopoietic cell kinase; p59Hck; p61Hck; Hemopoietic cell kinase; p59-HCK/p60-HCK
P49790,NUP153,NU153_HUMAN,,Nuclear pore complex protein Nup153; Nucleoporin Nup153; 153 kDa nucleoporin
Q9NWH9,SLTM,SLTM_HUMAN,MET,SAFB-like transcription modulator; Modulator of estrogen-induced transcription
O15294,OGT,OGT1_HUMAN,,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit; O-GlcNAc transferase subunit p110; O-linked N-acetylglucosamine transferase 110 kDa subunit
Q8NG66,NEK11,NEK11_HUMAN,,Serine/threonine-protein kinase Nek11; Never in mitosis A-related kinase 11
Q04837,SSBP1,SSBP_HUMAN,SSBP,"Single-stranded DNA-binding protein, mitochondrial; PWP1-interacting protein 17"
P25205,MCM3,MCM3_HUMAN,,DNA replication licensing factor MCM3; DNA polymerase alpha holoenzyme-associated protein P1; P1-MCM3; RLF subunit beta; p102
O95707,POP4,RPP29_HUMAN,RPP29,Ribonuclease P protein subunit p29
P35612,ADD2,ADDB_HUMAN,ADDB,Beta-adducin; Erythrocyte adducin subunit beta
Q6UB98-2,ANKRD12,ANR12-2_HUMAN,ANCO2; KIAA0874,Isoform 2 of Ankyrin repeat domain-containing protein 12; Ankyrin repeat-containing cofactor 2; GAC-1 protein
Q9H8N7,ZNF395,ZN395_HUMAN,HDBP2; PBF,Zinc finger protein 395; Huntington disease gene regulatory region-binding protein 2; Papillomavirus regulatory factor 1; Papillomavirus-binding factor; HD-regulating factor 2
P12956,XRCC6,XRCC6_HUMAN,G22P1,X-ray repair cross-complementing protein 6; ATP-dependent DNA helicase II 70 kDa subunit; CTC box-binding factor 75 kDa subunit; 70 kDa subunit of Ku antigen; ATP-dependent DNA helicase 2 subunit 1; 5'-deoxyribose-5-phosphate lyase Ku70; X-ray repair complementing defective repair in Chinese hamster cells 6; Thyroid-lupus autoantigen; DNA repair protein XRCC6; Lupus Ku autoantigen protein p70
Q13257,MAD2L1,MD2L1_HUMAN,MAD2,Mitotic spindle assembly checkpoint protein MAD2A; Mitotic arrest deficient 2-like protein 1
Q13043,STK4,STK4_HUMAN,KRS2; MST1,Serine/threonine-protein kinase 4; Mammalian STE20-like protein kinase 1; Serine/threonine-protein kinase Krs-2; STE20-like kinase MST1
O75592,MYCBP2,MYCB2_HUMAN,KIAA0916; PAM,E3 ubiquitin-protein ligase MYCBP2; Myc-binding protein 2; Protein associated with Myc
Q9BRD0,BUD13,BUD13_HUMAN,,BUD13 homolog
O60343,TBC1D4,TBCD4_HUMAN,AS160; KIAA0603,TBC1 domain family member 4; Akt substrate of 160 kDa
P36507,MAP2K2,MP2K2_HUMAN,MEK2; MKK2; PRKMK2,Dual specificity mitogen-activated protein kinase kinase 2; ERK activator kinase 2; MAPK/ERK kinase 2
Q9GZR7,DDX24,DDX24_HUMAN,,ATP-dependent RNA helicase DDX24; DEAD box protein 24
Q9BTD8,RBM42,RBM42_HUMAN,,RNA-binding protein 42; RNA-binding motif protein 42
P39748,FEN1,FEN1_HUMAN,RAD2,Flap endonuclease 1; DNase IV; Flap structure-specific endonuclease 1; Maturation factor 1
Q99848,EBNA1BP2,EBP2_HUMAN,EBP2,Probable rRNA-processing protein EBP2; EBNA1-binding protein 2; Nucleolar protein p40
P49792,RANBP2,RBP2_HUMAN,NUP358,E3 SUMO-protein ligase RanBP2; 358 kDa nucleoporin; Nuclear pore complex protein Nup358; Nucleoporin Nup358; Ran-binding protein 2; p270
Q9HC62,SENP2,SENP2_HUMAN,KIAA1331,Sentrin-specific protease 2; Axam2; SMT3-specific isopeptidase 2; Sentrin/SUMO-specific protease SENP2
Q08AD1,CAMSAP2,CAMP2_HUMAN,CAMSAP1L1; KIAA1078,Calmodulin-regulated spectrin-associated protein 2; Calmodulin-regulated spectrin-associated protein 1-like protein 1
Q9Y3Y2,CHTOP,CHTOP_HUMAN,FOP; PP7704; C1orf77; HT031,Chromatin target of PRMT1 protein; Small arginine- and glycine-rich protein; Friend of PRMT1 protein
Q5JSZ5,PRRC2B,PRC2B_HUMAN,BAT2L; BAT2L1; KIAA0515,Protein PRRC2B; Proline-rich coiled-coil protein 2B; HLA-B-associated transcript 2-like 1
P02545,LMNA,LMNA_HUMAN,LMN1,Prelamin-A/C
O15151,MDM4,MDM4_HUMAN,MDMX,Protein Mdm4; p53-binding protein Mdm4; Protein Mdmx; Mdm2-like p53-binding protein; Double minute 4 protein
O95625,ZBTB11,ZBT11_HUMAN,,Zinc finger and BTB domain-containing protein 11
Q9UPP1,PHF8,PHF8_HUMAN,KIAA1111; ZNF422,Histone lysine demethylase PHF8; PHD finger protein 8
Q9H0H5,RACGAP1,RGAP1_HUMAN,KIAA1478; MGCRACGAP,Rac GTPase-activating protein 1; Male germ cell RacGap; Protein CYK4 homolog
Q9UMR2,DDX19B,DD19B_HUMAN,DBP5; DDX19; TDBP,ATP-dependent RNA helicase DDX19B; DEAD box protein 19B; DEAD box RNA helicase DEAD5
Q86UE8,TLK2,TLK2_HUMAN,,Serine/threonine-protein kinase tousled-like 2; PKU-alpha; HsHPK; Tousled-like kinase 2
Q9Y570,PPME1,PPME1_HUMAN,PP2593; PRO0750; PME1,Protein phosphatase methylesterase 1
P84243,H3-3B,H33_HUMAN,H3.3B; H3F3B,Histone H3.3
P27816,MAP4,MAP4_HUMAN,,Microtubule-associated protein 4
Q9UK53-2,ING1,ING1-2_HUMAN,,Isoform 2 of Inhibitor of growth protein 1
Q86WR7,PROSER2,PRSR2_HUMAN,C10orf47,Proline and serine-rich protein 2
Q14004,CDK13,CDK13_HUMAN,CDC2L; CDC2L5; CHED; KIAA1791,Cyclin-dependent kinase 13; Cholinesterase-related cell division controller; CDC2-related protein kinase 5; Cell division cycle 2-like protein kinase 5; Cell division protein kinase 13
Q5JTH9,RRP12,RRP12_HUMAN,KIAA0690,RRP12-like protein
Q9HAW4,CLSPN,CLSPN_HUMAN,,Claspin
Q14738,PPP2R5D,2A5D_HUMAN,,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform; PP2A B subunit isoform R5-delta; PP2A B subunit isoform B'-delta; PP2A B subunit isoform B56-delta; PP2A B subunit isoform PR61-delta
P55039,DRG2,DRG2_HUMAN,,Developmentally-regulated GTP-binding protein 2; Translation factor GTPase DRG2
O43660,PLRG1,PLRG1_HUMAN,,Pleiotropic regulator 1
Q53F19,NCBP3,NCBP3_HUMAN,C17orf85,Nuclear cap-binding protein subunit 3; Protein ELG
Q9HB96,FANCE,FANCE_HUMAN,FACE,Fanconi anemia group E protein
Q96QD9,FYTTD1,UIF_HUMAN,UIF,UAP56-interacting factor; Forty-two-three domain-containing protein 1
Q9BY77,POLDIP3,PDIP3_HUMAN,KIAA1649; PDIP46,Polymerase delta-interacting protein 3; S6K1 Aly/REF-like target; 46 kDa DNA polymerase delta interaction protein
P26373,RPL13,RL13_HUMAN,BBC1; OK/SW-cl.46,60S ribosomal protein L13; Breast basic conserved protein 1; Large ribosomal subunit protein eL13
P52294,KPNA1,IMA5_HUMAN,RCH2,Importin subunit alpha-5; RAG cohort protein 2; SRP1-beta; Nucleoprotein interactor 1; Karyopherin subunit alpha-1
Q8N4C8,MINK1,MINK1_HUMAN,ZC3; B55; MAP4K6; YSK2; MINK,Misshapen-like kinase 1; Misshapen/NIK-related kinase; MAPK/ERK kinase kinase kinase 6; GCK family kinase MiNK; Mitogen-activated protein kinase kinase kinase kinase 6
P06400,RB1,RB_HUMAN,,Retinoblastoma-associated protein; p105-Rb; p110-RB1; pRb; pp110
P19838,NFKB1,NFKB1_HUMAN,,Nuclear factor NF-kappa-B p105 subunit; EBP-1; Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1; DNA-binding factor KBF1
Q9BXB4,OSBPL11,OSB11_HUMAN,ORP11; OSBP12,Oxysterol-binding protein-related protein 11
Q96ST3,SIN3A,SIN3A_HUMAN,,Paired amphipathic helix protein Sin3a; Transcriptional corepressor Sin3a; Histone deacetylase complex subunit Sin3a
Q13470,TNK1,TNK1_HUMAN,,Non-receptor tyrosine-protein kinase TNK1; CD38 negative kinase 1
Q32P44,EML3,EMAL3_HUMAN,,Echinoderm microtubule-associated protein-like 3
P39880,CUX1,CUX1_HUMAN,CUTL1,Homeobox protein cut-like 1; CCAAT displacement protein; Homeobox protein cux-1
Q16665,HIF1A,HIF1A_HUMAN,BHLHE78; MOP1; PASD8,Hypoxia-inducible factor 1-alpha; ARNT-interacting protein; Basic-helix-loop-helix-PAS protein MOP1; Class E basic helix-loop-helix protein 78; Member of PAS protein 1; PAS domain-containing protein 8
P61224,RAP1B,RAP1B_HUMAN,OK/SW-cl.11,Ras-related protein Rap-1b; GTP-binding protein smg p21B
Q00536,CDK16,CDK16_HUMAN,PCTAIRE1; PCTK1,Cyclin-dependent kinase 16; Serine/threonine-protein kinase PCTAIRE-1; Cell division protein kinase 16; PCTAIRE-motif protein kinase 1
P11137,MAP2,MTAP2_HUMAN,,Microtubule-associated protein 2
P17752,TPH1,TPH1_HUMAN,TPH; TPRH; TRPH,Tryptophan 5-hydroxylase 1; Tryptophan 5-monooxygenase 1
O76054,SEC14L2,S14L2_HUMAN,C22orf6; KIAA1186; KIAA1658,SEC14-like protein 2; Supernatant protein factor; Alpha-tocopherol-associated protein; Squalene transfer protein
Q86V87,FAM160B2,F16B2_HUMAN,RAI16; FP13191,Protein FAM160B2; Retinoic acid-induced protein 16
Q5S007,LRRK2,LRRK2_HUMAN,PARK8,Leucine-rich repeat serine/threonine-protein kinase 2; Dardarin
Q96PU5,NEDD4L,NED4L_HUMAN,KIAA0439; NEDL3,E3 ubiquitin-protein ligase NEDD4-like; HECT-type E3 ubiquitin transferase NED4L; NEDD4.2; Nedd4-2
Q93034,CUL5,CUL5_HUMAN,VACM1,Cullin-5; Vasopressin-activated calcium-mobilizing receptor 1
Q05086-2,UBE3A,UBE3A-2_HUMAN,E6AP; HPVE6A; EPVE6AP,Isoform I of Ubiquitin-protein ligase E3A; E6AP ubiquitin-protein ligase; HECT-type ubiquitin transferase E3A; Human papillomavirus E6-associated protein; Oncogenic protein-associated protein E6-AP; Renal carcinoma antigen NY-REN-54
P10071,GLI3,GLI3_HUMAN,,Transcriptional activator GLI3; GLI3 form of 190 kDa; GLI3 full-length protein
Q06124-2,PTPN11,PTN11-2_HUMAN,PTP2C; SHPTP2,Isoform 1 of Tyrosine-protein phosphatase non-receptor type 11; Protein-tyrosine phosphatase 1D; Protein-tyrosine phosphatase 2C; SH-PTP2; SH-PTP3
Q7KZI7,MARK2,MARK2_HUMAN,EMK1,Serine/threonine-protein kinase MARK2; PAR1 homolog b; PAR1 homolog; MAP/microtubule affinity-regulating kinase 2; ELKL motif kinase 1
P78348-1,ASIC1,ASIC1-1_HUMAN,ACCN2; BNAC2,"Isoform 1 of Acid-sensing ion channel 1; Amiloride-sensitive cation channel 2, neuronal; Brain sodium channel 2"
Q9NRI5,DISC1,DISC1_HUMAN,KIAA0457,Disrupted in schizophrenia 1 protein
P55211,CASP9,CASP9_HUMAN,MCH6,Caspase-9; Apoptotic protease Mch-6; Apoptotic protease-activating factor 3; ICE-like apoptotic protease 6
P24390,KDELR1,ERD21_HUMAN,ERD2.1,ER lumen protein-retaining receptor 1; Putative MAPK-activating protein PM23; KDEL endoplasmic reticulum protein retention receptor 1
Q14896,MYBPC3,MYPC3_HUMAN,,"Myosin-binding protein C, cardiac-type; C-protein, cardiac muscle isoform"
P43694,GATA4,GATA4_HUMAN,,Transcription factor GATA-4; GATA-binding factor 4
Q9ULJ8,PPP1R9A,NEB1_HUMAN,KIAA1222,Neurabin-1; Protein phosphatase 1 regulatory subunit 9A; Neural tissue-specific F-actin-binding protein I; Neurabin-I
Q9NX63,CHCHD3,MIC19_HUMAN,MIC19; MINOS3,MICOS complex subunit MIC19; Coiled-coil-helix-coiled-coil-helix domain-containing protein 3
P56545,CTBP2,CTBP2_HUMAN,,C-terminal-binding protein 2
P08684,CYP3A4,CP3A4_HUMAN,CYP3A3,"Cytochrome P450 3A4; 1,4-cineole 2-exo-monooxygenase; 1,8-cineole 2-exo-monooxygenase; Albendazole monooxygenase (sulfoxide-forming); Albendazole sulfoxidase; CYPIIIA3; CYPIIIA4; Cholesterol 25-hydroxylase; Cytochrome P450 3A3; Cytochrome P450 HLp; Cytochrome P450 NF-25; Cytochrome P450-PCN1; Nifedipine oxidase; Quinine 3-monooxygenase"
Q9NYF0,DACT1,DACT1_HUMAN,DPR1; HNG3,Dapper homolog 1; Dapper antagonist of catenin 1; Hepatocellular carcinoma novel gene 3 protein
Q8IYT8,ULK2,ULK2_HUMAN,KIAA0623,Serine/threonine-protein kinase ULK2; Unc-51-like kinase 2
Q07954,LRP1,LRP1_HUMAN,A2MR; APR,Prolow-density lipoprotein receptor-related protein 1; Alpha-2-macroglobulin receptor; Apolipoprotein E receptor
P27448,MARK3,MARK3_HUMAN,CTAK1; EMK2,MAP/microtubule affinity-regulating kinase 3; ELKL motif kinase 2; Cdc25C-associated protein kinase 1; C-TAK1; Serine/threonine-protein kinase p78; Ser/Thr protein kinase PAR-1; Protein kinase STK10
Q9NZV8,KCND2,KCND2_HUMAN,KIAA1044,Potassium voltage-gated channel subfamily D member 2; Voltage-gated potassium channel subunit Kv4.2
P31323,PRKAR2B,KAP3_HUMAN,,cAMP-dependent protein kinase type II-beta regulatory subunit
P34998-2,CRHR1,CRFR1-2_HUMAN,CRHR; CRFR; CRFR1,Isoform CRF-R2 of Corticotropin-releasing factor receptor 1; Corticotropin-releasing hormone receptor 1
Q13972,RASGRF1,RGRF1_HUMAN,CDC25; GNRP; GRF1,Ras-specific guanine nucleotide-releasing factor 1; Ras-specific nucleotide exchange factor CDC25; Guanine nucleotide-releasing protein
O00168,FXYD1,PLM_HUMAN,PLM,Phospholemman; FXYD domain-containing ion transport regulator 1; Sodium/potassium-transporting ATPase subunit FXYD1
Q14524,SCN5A,SCN5A_HUMAN,,Sodium channel protein type 5 subunit alpha; HH1; Sodium channel protein cardiac muscle subunit alpha; Sodium channel protein type V subunit alpha; Voltage-gated sodium channel subunit alpha Nav1.5
Q6J4K2,SLC8B1,NCLX_HUMAN,SLC24A6; NCLX; NCKX6,"Mitochondrial sodium/calcium exchanger protein; Na(+)/K(+)/Ca(2+)-exchange protein 6; Sodium/calcium exchanger protein, mitochondrial; Sodium/potassium/calcium exchanger 6; Solute carrier family 24 member 6; Solute carrier family 8 member B1"
P24385,CCND1,CCND1_HUMAN,BCL1; PRAD1,G1/S-specific cyclin-D1; B-cell lymphoma 1 protein; BCL-1 oncogene; PRAD1 oncogene
Q9NRD9,DUOX1,DUOX1_HUMAN,DUOX; LNOX1; THOX1,Dual oxidase 1; NADPH thyroid oxidase 1; Thyroid oxidase 1; Large NOX 1; Long NOX 1
Q9Y2K6,USP20,UBP20_HUMAN,KIAA1003; LSFR3A; VDU2,Ubiquitin carboxyl-terminal hydrolase 20; Ubiquitin thioesterase 20; Deubiquitinating enzyme 20; VHL-interacting deubiquitinating enzyme 2; Ubiquitin-specific-processing protease 20
P07550,ADRB2,ADRB2_HUMAN,ADRB2R; B2AR,Beta-2 adrenergic receptor; Beta-2 adrenoreceptor
Q9P289,STK26,STK26_HUMAN,MASK; MST4,Serine/threonine-protein kinase 26; MST3 and SOK1-related kinase; Mammalian STE20-like protein kinase 4; Serine/threonine-protein kinase MASK
Q12809,KCNH2,KCNH2_HUMAN,ERG; ERG1; HERG,Potassium voltage-gated channel subfamily H member 2; Voltage-gated potassium channel subunit Kv11.1; Eag homolog; Ether-a-go-go-related gene potassium channel 1
P27815,PDE4A,PDE4A_HUMAN,DPDE2,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A; DPDE2; PDE46"
P08183,ABCB1,MDR1_HUMAN,PGY1; MDR1,ATP-dependent translocase ABCB1; ATP-binding cassette sub-family B member 1; Multidrug resistance protein 1; P-glycoprotein 1; Phospholipid transporter ABCB1
Q9BY41,HDAC8,HDAC8_HUMAN,HDACL1; CDA07,Histone deacetylase 8
P07384,CAPN1,CAN1_HUMAN,CANPL1; PIG30,Calpain-1 catalytic subunit; Calcium-activated neutral proteinase 1; Calpain mu-type; Calpain-1 large subunit; Cell proliferation-inducing gene 30 protein; Micromolar-calpain
O14813,PHOX2A,PHX2A_HUMAN,ARIX; PMX2A,Paired mesoderm homeobox protein 2A; ARIX1 homeodomain protein; Aristaless homeobox protein homolog; Paired-like homeobox 2A
P14136,GFAP,GFAP_HUMAN,,Glial fibrillary acidic protein
P50549,ETV1,ETV1_HUMAN,ER81,ETS translocation variant 1; Ets-related protein 81
Q13586,STIM1,STIM1_HUMAN,GOK,Stromal interaction molecule 1
Q01860,POU5F1,PO5F1_HUMAN,OCT3; OCT4; OTF3,"POU domain, class 5, transcription factor 1; Octamer-binding protein 3; Octamer-binding protein 4; Octamer-binding transcription factor 3"
Q9UL62,TRPC5,TRPC5_HUMAN,TRP5,Short transient receptor potential channel 5; Transient receptor protein 5
Q9H2S1,KCNN2,KCNN2_HUMAN,,Small conductance calcium-activated potassium channel protein 2; KCa2.2
Q9UKG1,APPL1,DP13A_HUMAN,KIAA1428; APPL; DIP13A,"DCC-interacting protein 13-alpha; Adapter protein containing PH domain, PTB domain and leucine zipper motif 1"
P17661,DES,DESM_HUMAN,,Desmin
Q9Y259,CHKB,CHKB_HUMAN,CHETK; CHKL,Choline/ethanolamine kinase; Choline kinase beta; Choline kinase-like protein; Ethanolamine kinase; Ethanolamine kinase beta; choline/ethanolamine kinase beta
O60941,DTNB,DTNB_HUMAN,,Dystrobrevin beta; Beta-dystrobrevin
P48544,KCNJ5,KCNJ5_HUMAN,GIRK4,"G protein-activated inward rectifier potassium channel 4; KATP-1; Heart KATP channel; Inward rectifier K(+) channel Kir3.4; Cardiac inward rectifier; Potassium channel, inwardly rectifying subfamily J member 5"
Q08499-2,PDE4D,PDE4D-2_HUMAN,DPDE3,"Isoform 3 of cAMP-specific 3',5'-cyclic phosphodiesterase 4D; DPDE3; PDE43"
P48729,CSNK1A1,KC1A_HUMAN,,Casein kinase I isoform alpha; CK1
Q7Z2W7,TRPM8,TRPM8_HUMAN,LTRPC6; TRPP8,Transient receptor potential cation channel subfamily M member 8; Long transient receptor potential channel 6; Transient receptor potential p8
Q9P0L9,PKD2L1,PK2L1_HUMAN,PKD2L; PKDL; TRPP3,Polycystic kidney disease 2-like 1 protein; Polycystin-2 homolog; Polycystin-2L1; Polycystin-L; Polycystin-L1
P21731-2,TBXA2R,TA2R-2_HUMAN,,Isoform 2 of Thromboxane A2 receptor; Prostanoid TP receptor
Q8IWQ3,BRSK2,BRSK2_HUMAN,HUSSY-12; STK29; C11orf7; PEN11B; SADA,Serine/threonine-protein kinase BRSK2; Brain-selective kinase 2; Brain-specific serine/threonine-protein kinase 2; Serine/threonine-protein kinase SAD-A; Serine/threonine-protein kinase 29
P00439,PAH,PH4H_HUMAN,,Phenylalanine-4-hydroxylase; Phe-4-monooxygenase
Q9NXR1,NDE1,NDE1_HUMAN,NUDE,Nuclear distribution protein nudE homolog 1
Q08499-7,PDE4D,PDE4D-7_HUMAN,DPDE3,"Isoform N3 of cAMP-specific 3',5'-cyclic phosphodiesterase 4D; DPDE3; PDE43"
P50402,EMD,EMD_HUMAN,EDMD; STA,Emerin
Q13370,PDE3B,PDE3B_HUMAN,,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B; CGIPDE1; Cyclic GMP-inhibited phosphodiesterase B"
P17812,CTPS1,PYRG1_HUMAN,CTPS,CTP synthase 1; CTP synthetase 1; UTP--ammonia ligase 1
O95644,NFATC1,NFAC1_HUMAN,NFAT2; NFATC,"Nuclear factor of activated T-cells, cytoplasmic 1; NFAT transcription complex cytosolic component"
Q8WTQ7,GRK7,GRK7_HUMAN,GPRK7,Rhodopsin kinase GRK7; G protein-coupled receptor kinase 7; G protein-coupled receptor kinase GRK7
Q9NS28,RGS18,RGS18_HUMAN,RGS13,Regulator of G-protein signaling 18
Q9GZX7,AICDA,AICDA_HUMAN,AID,Single-stranded DNA cytosine deaminase; Activation-induced cytidine deaminase; Cytidine aminohydrolase
P07949,RET,RET_HUMAN,CDHF12; CDHR16; RET51; PTC,Proto-oncogene tyrosine-protein kinase receptor Ret; Cadherin family member 12; Proto-oncogene c-Ret
Q07343,PDE4B,PDE4B_HUMAN,DPDE4,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B; PDE32; DPDE4"
Q9UJY1,HSPB8,HSPB8_HUMAN,CRYAC; E2IG1; HSP22; PP1629,Heat shock protein beta-8; Small stress protein-like protein HSP22; Protein kinase H11; E2-induced gene 1 protein; Alpha-crystallin C chain
Q14432,PDE3A,PDE3A_HUMAN,,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A; Cyclic GMP-inhibited phosphodiesterase A"
O75762,TRPA1,TRPA1_HUMAN,ANKTM1,Transient receptor potential cation channel subfamily A member 1; Ankyrin-like with transmembrane domains protein 1; Transformation-sensitive protein p120; Wasabi receptor
O14921,RGS13,RGS13_HUMAN,,Regulator of G-protein signaling 13
O15217,GSTA4,GSTA4_HUMAN,,Glutathione S-transferase A4; GST class-alpha member 4; Glutathione S-transferase A4-4
P10636-2,MAPT,TAU-2_HUMAN,MAPTL; MTBT1; TAU,Isoform Fetal-tau of Microtubule-associated protein tau; Neurofibrillary tangle protein; Paired helical filament-tau
P47736,RAP1GAP,RPGP1_HUMAN,KIAA0474; RAP1GA1,Rap1 GTPase-activating protein 1
Q05209,PTPN12,PTN12_HUMAN,,Tyrosine-protein phosphatase non-receptor type 12; PTP-PEST; Protein-tyrosine phosphatase G1
Q08495,DMTN,DEMA_HUMAN,DMT; EPB49,Dematin; Erythrocyte membrane protein band 4.9; Dematin actin-binding protein
P17612,PRKACA,KAPCA_HUMAN,PKACA,cAMP-dependent protein kinase catalytic subunit alpha
P54296,MYOM2,MYOM2_HUMAN,,Myomesin-2; Myomesin family member 2; M-protein; 165 kDa titin-associated protein; 165 kDa connectin-associated protein
Q9Y233-2,PDE10A,PDE10-2_HUMAN,,"Isoform PDE10A2 of cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"
Q9UD71,PPP1R1B,PPR1B_HUMAN,DARPP32,Protein phosphatase 1 regulatory subunit 1B; DARPP-32; Dopamine- and cAMP-regulated neuronal phosphoprotein
O15554,KCNN4,KCNN4_HUMAN,IK1; IKCA1; KCA4; SK4,Intermediate conductance calcium-activated potassium channel protein 4; KCa4; Putative Gardos channel; KCa3.1; IKCa1
Q14847,LASP1,LASP1_HUMAN,MLN50,LIM and SH3 domain protein 1; Metastatic lymph node gene 50 protein
P17655,CAPN2,CAN2_HUMAN,CANPL2,Calpain-2 catalytic subunit; Calcium-activated neutral proteinase 2; Calpain M-type; Calpain large polypeptide L2; Calpain-2 large subunit; Millimolar-calpain
Q99259,GAD1,DCE1_HUMAN,GAD; GAD67,Glutamate decarboxylase 1; 67 kDa glutamic acid decarboxylase; Glutamate decarboxylase 67 kDa isoform
Q07955,SRSF1,SRSF1_HUMAN,SF2; SFRS1; ASF; OK/SW-cl.3; SF2P33,"Serine/arginine-rich splicing factor 1; Alternative-splicing factor 1; pre-mRNA-splicing factor SF2, P33 subunit; Splicing factor, arginine/serine-rich 1"
Q02952,AKAP12,AKA12_HUMAN,AKAP250,A-kinase anchor protein 12; A-kinase anchor protein 250 kDa; Gravin; Myasthenia gravis autoantigen
O43164,PJA2,PJA2_HUMAN,KIAA0438; RNF131,E3 ubiquitin-protein ligase Praja-2; RING finger protein 131; RING-type E3 ubiquitin transferase Praja-2
O00482,NR5A2,NR5A2_HUMAN,B1F; CPF; FTF,Nuclear receptor subfamily 5 group A member 2; Liver receptor homolog 1; Hepatocytic transcription factor; CYP7A promoter-binding factor; B1-binding factor; Alpha-1-fetoprotein transcription factor
O94811,TPPP,TPPP_HUMAN,TPPP1,Tubulin polymerization-promoting protein; 25 kDa brain-specific protein; TPPP/p25; p24; p25-alpha
Q684P5,RAP1GAP2,RPGP2_HUMAN,GARNL4; KIAA1039; RAP1GA2,Rap1 GTPase-activating protein 2; GTPase-activating Rap/Ran-GAP domain-like protein 4
