Kinase Accession,Family,Subcellular location
Q8N4C8,STE Ser/Thr protein kinase family,Cytoplasm; Cell junction; postsynaptic density; synapse; axon; Cell projection; dendrite; Golgi apparatus;
Q8NEV4,ATPase superfamily; Myosin family; STE Ser/Thr protein kinase family,Cytoplasm; cytoskeleton; Cell projection; filopodium; filopodium tip; cilium; stereocilium;
Q8WXR4,ATPase superfamily; Myosin family; STE Ser/Thr protein kinase family,Cytoplasm; cytoskeleton; Cell projection; cilium; stereocilium;
Q7Z2Y5,STE Ser/Thr protein kinase family,
O95747,STE Ser/Thr protein kinase family,Cytoplasm;
Q13153,STE Ser/Thr protein kinase family,Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cell projection; ruffle; invadopodium; nucleoplasm; Nucleus; Chromosome;
Q13177,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus; perinuclear region; Lipid-anchor; Membrane;
O75914,STE Ser/Thr protein kinase family; STE Ser/Thr protein kinase family,Cytoplasm;
O96013,STE Ser/Thr protein kinase family,Cytoplasm;
Q9P286,STE Ser/Thr protein kinase family,Mitochondrion; Cytoplasm; Nucleus;
Q9NQU5,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q96KB5,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,
Q9H2G2,STE Ser/Thr protein kinase family,Cytoplasm;
O94804,STE Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein;
Q9Y6E0,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus; Membrane;
O00506,STE Ser/Thr protein kinase family,Cytoplasm; Golgi apparatus;
Q9P289,STE Ser/Thr protein kinase family,Cytoplasm; Golgi apparatus;
Q13188,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q9UEW8,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q13043,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q7RTN6,STE Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q9C0K7,STE Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q7L7X3,STE Ser/Thr protein kinase family,Cytoplasm;
Q9UL54,STE Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Multi-pass membrane protein; cytoskeleton; Nucleus; Cell projection; dendrite;
Q9H2K8,STE Ser/Thr protein kinase family,Cytoplasm; Cell membrane; Peripheral membrane protein;
Q9UKE5,STE Ser/Thr protein kinase family,Nucleus; Cytoplasm; Recycling endosome; cytoskeleton;
Q04771,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
P36896,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
Q8NER5,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
P27037,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
Q13705,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P37023,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
Q16671,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
Q8NFD2,TKL Ser/Thr protein kinase family,
P10398,TKL Ser/Thr protein kinase family; RAF subfamily,Cell membrane; Multi-pass membrane protein;
P36894,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell surface;
O00238,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Membrane; Single-pass type I membrane protein;
Q13873,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P15056,TKL Ser/Thr protein kinase family; RAF subfamily,Nucleus; Cytoplasm; Cell membrane;
Q13418,TKL Ser/Thr protein kinase family,Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; lamellipodium; myofibril; sarcomere;
P51617,TKL Ser/Thr protein kinase family; Pelle subfamily,Cytoplasm; Nucleus; Lipid droplet;
O43187,TKL Ser/Thr protein kinase family; Pelle subfamily,
Q9Y616,TKL Ser/Thr protein kinase family; Pelle subfamily,
Q9NWZ3,TKL Ser/Thr protein kinase family; Pelle subfamily,Cytoplasm;
Q8IVT5,TKL Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein; Cell membrane; Cell projection; ruffle; Endoplasmic reticulum; Endoplasmic reticulum membrane;
Q6VAB6,TKL Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
P53667,TKL Ser/Thr protein kinase family,Cytoplasm; Nucleus; cytoskeleton; Cell projection; lamellipodium;
P53671,TKL Ser/Thr protein kinase family,Cytoplasm; Nucleus; cytoskeleton; spindle;
Q38SD2,TKL Ser/Thr protein kinase family; ROCO subfamily,Cytoplasm;
Q5S007,TKL Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane;
P04049,TKL Ser/Thr protein kinase family; RAF subfamily,Cytoplasm; Cell membrane; Mitochondrion; Nucleus;
Q13546,TKL Ser/Thr protein kinase family,Cytoplasm; Cell membrane;
O43353,TKL Ser/Thr protein kinase family,Cytoplasm;
Q9Y572,TKL Ser/Thr protein kinase family,Cytoplasm; cytosol; Cell membrane; Mitochondrion;
P57078,TKL Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
Q15569,TKL Ser/Thr protein kinase family,
Q96S53,TKL Ser/Thr protein kinase family,Nucleus;
P36897,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell junction; tight junction; Cell surface; Membrane;
P37173,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein; Membrane;
Q59H18,TKL Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Nucleus; Cytoplasm;
Q6ZMQ8,Tyr protein kinase family,Membrane; Single-pass type I membrane protein; Cytoplasm; perinuclear region;
P00519,Tyr protein kinase family; ABL subfamily,Cytoplasm; cytoskeleton; Nucleus; Mitochondrion; Lipid-anchor; Nucleus membrane;
P42684,Tyr protein kinase family; ABL subfamily,Cytoplasm; cytoskeleton;
Q9UM73,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Membrane;
P30530,Tyr protein kinase family; AXL/UFO subfamily,Cell membrane; Single-pass type I membrane protein; Multi-pass membrane protein;
P51451,Tyr protein kinase family; SRC subfamily,Cell membrane; Lipid-anchor; Membrane;
P51813,Tyr protein kinase family; TEC subfamily,Cytoplasm;
Q06187,Tyr protein kinase family; TEC subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; cytosol; gem; Mitochondrion; Mitochondrion inner membrane; Single-pass membrane protein;
P07333,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P41240,Tyr protein kinase family; CSK subfamily,Cytoplasm; Cell membrane;
Q08345,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Secreted;
Q16832,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P00533,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Golgi apparatus; Golgi apparatus membrane; Nucleus; Nucleus membrane; Endosome; Endosome membrane; Secreted;
P21709,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
Q5JZY3,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Secreted;
P29317,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; lamellipodium; Cell junction; focal adhesion; perinuclear region;
P29320,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Secreted; Nucleus; Membrane; Multi-pass membrane protein;
P54764,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; dendrite; Cell junction; postsynaptic density; synapse; Early endosome; adherens junction;
P54756,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; dendrite;
Q9UF33,Tyr protein kinase family; Ephrin receptor subfamily,Membrane; Single-pass type I membrane protein;
Q15375,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P29322,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; Early endosome; Early endosome membrane;
P54762,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Cell projection; dendrite;
P29323,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; dendrite;
P54753,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; dendrite;
P54760,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
O15197,Tyr protein kinase family; Ephrin receptor subfamily,Membrane; Single-pass type I membrane protein; Secreted;
P04626,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus;
P21860,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Secreted; Cell inner membrane; Multi-pass membrane protein;
Q15303,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Nucleus; Mitochondrion;
P16591,Tyr protein kinase family; Fes/fps subfamily,Cytoplasm; cytoskeleton; Cell membrane; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cell junction; Membrane; Nucleus; cell cortex;
P07332,Tyr protein kinase family; Fes/fps subfamily,Cytoplasm; cytosol; cytoskeleton; Cell membrane; Cytoplasmic side; Peripheral membrane protein; Cytoplasmic vesicle; Golgi apparatus; Cell junction; focal adhesion;
P11362,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm; cytosol; Cytoplasmic vesicle; Golgi apparatus;
P21802,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Secreted;
P22607,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Endoplasmic reticulum; Secreted;
P22455,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endosome; Endoplasmic reticulum; Secreted; Cytoplasm;
P09769,Tyr protein kinase family; SRC subfamily,Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Peripheral membrane protein; Cell projection; ruffle; cytosol; cytoskeleton; Mitochondrion; Mitochondrion inner membrane; Mitochondrion intermembrane space;
P17948,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endosome; Secreted; Cytoplasm;
P36888,Tyr protein kinase family; PDGF receptor subfamily,Membrane; Single-pass type I membrane protein; Endoplasmic reticulum;
P35916,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Secreted;
P42685,Tyr protein kinase family; SRC subfamily,Cytoplasm; Nucleus;
P06241,Tyr protein kinase family; SRC subfamily,Cytoplasm; Nucleus; Cell membrane;
P08631,Tyr protein kinase family; SRC subfamily,Lysosome; Lipid-anchor; Membrane; Cell projection; podosome; Cytoplasm; cytosol; Cell membrane; caveola; Cell junction; focal adhesion; cytoskeleton; Golgi apparatus; Cytoplasmic vesicle; Nucleus; secretory vesicle;
P08069,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P06213,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Late endosome; Lysosome;
P14616,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein;
Q08881,Tyr protein kinase family; TEC subfamily,Cytoplasm; Nucleus;
P23458,Tyr protein kinase family; JAK subfamily,Endomembrane system; Peripheral membrane protein;
O60674,Tyr protein kinase family; JAK subfamily,Endomembrane system; Peripheral membrane protein; Cytoplasm; Nucleus;
P52333,Tyr protein kinase family; JAK subfamily,Endomembrane system; Peripheral membrane protein; Cytoplasm;
P35968,Tyr protein kinase family; PDGF receptor subfamily,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasmic vesicle; Early endosome; caveola; Secreted;
P10721,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Mitochondrion; Mitochondrion inner membrane; Multi-pass membrane protein;
P06239,Tyr protein kinase family; SRC subfamily,Cytoplasm; Cell membrane; Cytoplasmic side; Lipid-anchor;
Q8IWU2,Tyr protein kinase family,Membrane; Multi-pass membrane protein;
Q96Q04,Tyr protein kinase family,Membrane; Single-pass membrane protein; axon; Cell projection; dendrite; Golgi apparatus; Golgi apparatus membrane;
P29376,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein;
P07948,Tyr protein kinase family; SRC subfamily; Hantavirus envelope glycoprotein family,Cell membrane; Nucleus; Cytoplasm; perinuclear region; Golgi apparatus; Lipid-anchor; Membrane;
P42679,Tyr protein kinase family; CSK subfamily,Cytoplasm; Membrane; cytoskeleton;
Q12866,Tyr protein kinase family; AXL/UFO subfamily,Membrane; Single-pass type I membrane protein;
P08581,Tyr protein kinase family,Membrane; Single-pass type I membrane protein; Secreted;
Q04912,Tyr protein kinase family,Membrane; Single-pass type I membrane protein;
O15146,Tyr protein kinase family,Cell junction; postsynaptic cell membrane; Single-pass type I membrane protein; synapse; synaptic cell membrane;
P04629,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Late endosome; Late endosome membrane; Recycling endosome; Recycling endosome membrane; axon;
Q16620,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Early endosome; Early endosome membrane; axon; Cell projection; dendrite; Cytoplasm; perinuclear region; Cell junction; postsynaptic density; synapse;
Q16288,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein;
P16234,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; cilium; Golgi apparatus;
P09619,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Lysosome;
Q05397,Tyr protein kinase family; FAK subfamily,Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cell cortex; cytoskeleton; centrosome; microtubule organizing center; Nucleus;
Q14289,Tyr protein kinase family; FAK subfamily,Cytoplasm; perinuclear region; Cell membrane; Cytoplasmic side; Peripheral membrane protein; Cell junction; focal adhesion; Cell projection; lamellipodium; cell cortex; Nucleus;
Q13882,Tyr protein kinase family; SIK subfamily,Cytoplasm; Nucleus; Cell projection; ruffle; Membrane;
Q13308,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein; Cell junction;
P07949,Tyr protein kinase family,Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane;
Q01973,Tyr protein kinase family; ROR subfamily,Membrane; Single-pass type I membrane protein; axon; Cell projection;
Q01974,Tyr protein kinase family; ROR subfamily; Nuclear hormone receptor family,Cell membrane; Single-pass type I membrane protein; nucleolus; Nucleus;
P08922,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P34925,Tyr protein kinase family,Membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm;
P12931,Tyr protein kinase family; SRC subfamily,Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; perinuclear region; focal adhesion; gem;
Q9H3Y6,Tyr protein kinase family; SRC subfamily,Cytoplasm;
Q6J9G0,Tyr protein kinase family,Membrane; Single-pass membrane protein;
P43405,Tyr protein kinase family,Cell membrane; Cytoplasm; cytosol;
P42680,Tyr protein kinase family; TEC subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; cytoskeleton; gem;
Q02763,Tyr protein kinase family; Tie subfamily,Cell membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Secreted; stress fiber;
P35590,Tyr protein kinase family; Tie subfamily,Cell membrane; Single-pass type I membrane protein;
Q13470,Tyr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
Q07912,Tyr protein kinase family,Cell membrane; Nucleus; Endosome; adherens junction; Cell junction; Cytoplasm; Cytoplasmic side; Cytoplasmic vesicle membrane; Peripheral membrane protein; clathrin-coated vesicle; Cytoplasmic vesicle; clathrin-coated pit; coated pit; Membrane; perinuclear region;
P42681,Tyr protein kinase family; TEC subfamily,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein;
P29597,Tyr protein kinase family; JAK subfamily,
Q06418,Tyr protein kinase family; AXL/UFO subfamily,Cell membrane; Single-pass type I membrane protein;
P07947,Tyr protein kinase family; SRC subfamily,Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cytosol;
P43403,Tyr protein kinase family,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; cytoskeleton; Nucleus;
Q2M2I8,Ser/Thr protein kinase family; CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein; clathrin-coated pit; coated pit; Membrane; Cell junction; presynapse; synapse;
O14965,Ser/Thr protein kinase family; Aurora subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; cilium; cilium basal body; centriole; Cell projection; neuron projection; spindle pole;
Q96GD4,Ser/Thr protein kinase family; Aurora subfamily,Nucleus; Chromosome; centromere; Cytoplasm; cytoskeleton; spindle; Midbody;
Q9UQB9,Ser/Thr protein kinase family; Aurora subfamily,Nucleus; Chromosome; centromere; Cytoplasm; cytoskeleton; spindle;
Q9NSY1,Ser/Thr protein kinase family,Nucleus;
O43683,Ser/Thr protein kinase family,Nucleus; centromere; Chromosome; kinetochore; spindle;
O60566,Ser/Thr protein kinase family,Cytoplasm; Nucleus; centromere; Chromosome; kinetochore; centrosome; cytoskeleton; microtubule organizing center;
Q8N5S9,Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q96RR4,Ser/Thr protein kinase family,Nucleus; Cytoplasm; Cell projection; neuron projection;
O00311,Ser/Thr protein kinase family,Nucleus;
O15111,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm; Nucleus;
P68400,Ser/Thr protein kinase family,Nucleus;
P19784,Ser/Thr protein kinase family,
Q8NEV1,Ser/Thr protein kinase family,
Q6XUX3,Ser/Thr protein kinase family,Cytoplasm; Cell membrane; Apical cell membrane; Basolateral cell membrane; Cell junction;
Q9BQI3,Ser/Thr protein kinase family,Cytoplasm;
P19525,Ser/Thr protein kinase family,Cytoplasm; Nucleus; perinuclear region;
Q9NZJ5,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
Q9P2K8,Ser/Thr protein kinase family,Cytoplasm;
O75460,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
Q76MJ5,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
O14976,Ser/Thr protein kinase family,Cytoplasm; perinuclear region; Golgi apparatus; trans-Golgi network; Cell junction; focal adhesion;
Q8TF76,Ser/Thr protein kinase family; Haspin subfamily,Nucleus; Chromosome; Cytoplasm; cytoskeleton; spindle;
O14920,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm; Nucleus; Membrane;
Q14164,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm; Nucleus; PML body;
Q8NB16,,Cytoplasm; Cell membrane;
P00540,Ser/Thr protein kinase family,Cell outer membrane; Cytoplasm;
Q9UHY1,Ser/Thr protein kinase family,cell cortex; Cytoplasm; Endomembrane system; Cell projection; lamellipodium;
Q9NSY0,Ser/Thr protein kinase family,Cytoplasm;
Q58A45,Pannexin family; ,Cytoplasm; P-body;
Q8N165,Ser/Thr protein kinase family,Nucleus;
Q9H792,,Cytoplasm; cytoskeleton; Cell junction; focal adhesion;
Q99570,Ser/Thr protein kinase family,Late endosome; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Lipid-anchor; Membrane; axon;
Q9BXM7,Ser/Thr protein kinase family,Mitochondrion; Mitochondrion outer membrane; Single-pass membrane protein; Mitochondrion inner membrane; Cytoplasm; cytosol;
Q504Y2,,Secreted; Golgi apparatus;
Q99640,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane;
P53350,Ser/Thr protein kinase family; Polo subfamily,Nucleus; centromere; Chromosome; kinetochore; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; Midbody; spindle pole;
Q9NYY3,Ser/Thr protein kinase family; Polo subfamily,centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell projection; dendrite;
Q9H4B4,Ser/Thr protein kinase family; Polo subfamily,Cytoplasm; Nucleus; nucleolus; Golgi apparatus; centrosome; cytoskeleton; microtubule organizing center;
O00444,Ser/Thr protein kinase family; Polo subfamily,centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; nucleolus; Nucleus; Cleavage furrow;
Q496M5,Ser/Thr protein kinase family; Polo subfamily,nucleolus; Nucleus; Cytoplasm;
Q9H5K3,Ser/Thr protein kinase family; STKL subfamily,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type II membrane protein;
Q86YV5,,Cytoplasm; Cell junction; focal adhesion; Nucleus;
Q7Z7A4,,Cytoplasm; Cell membrane; Peripheral membrane protein;
Q05823,,Cytoplasm; Mitochondrion;
Q96S38,Ser/Thr protein kinase family,Cytoplasm; Membrane; Early endosome;
Q9Y6S9,Ser/Thr protein kinase family,
Q96LW2,Ser/Thr protein kinase family,
Q52WX2,Ser/Thr protein kinase family,Cytoplasm;
P0C263,Ser/Thr protein kinase family; STKL subfamily,
P0C264,Ser/Thr protein kinase family; STKL subfamily,
Q96KG9,,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment; cis-Golgi network; Golgi apparatus; Nucleus;
Q6P3W7,,Cytoplasm; perinuclear region; clathrin-coated vesicle; Cytoplasmic vesicle; Golgi apparatus; trans-Golgi network; Endosome; Endosome membrane;
Q8IZE3,,Cytoplasm; Golgi apparatus; Cell projection; lamellipodium;
O75716,Ser/Thr protein kinase family,Cytoplasm; perinuclear region; Lipid-anchor; Membrane;
Q9BXU1,Ser/Thr protein kinase family,
Q8WU08,Ser/Thr protein kinase family,Cell membrane; Lipid-anchor;
Q9NY57,Ser/Thr protein kinase family,
Q86UX6,Ser/Thr protein kinase family,
Q8TDR2,Ser/Thr protein kinase family,Nucleus; nucleolus; Cytoplasm; stress fiber;
Q9NRP7,Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q8NE28,Ser/Thr protein kinase family; STKL subfamily,
Q8TEA7,,Cytoplasm; cytoskeleton; spindle; Midbody;
Q9UHD2,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm;
Q8IWB6,,Cytoplasm; Midbody; centromere; Chromosome; kinetochore;
Q9UKI8,Ser/Thr protein kinase family,Nucleus;
Q86UE8,Ser/Thr protein kinase family,Nucleus; Cytoplasm; perinuclear region; cytoskeleton;
Q96S44,,Cytoplasm; Nucleus;
P33981,Ser/Thr protein kinase family,
Q8TAS1,Ser/Thr protein kinase family,Nucleus;
O75385,Ser/Thr protein kinase family,Cytoplasm; cytosol; Preautophagosomal structure; autophagosome; phagosome;
Q8IYT8,Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein;
Q6PHR2,Ser/Thr protein kinase family,Cytoplasm;
Q96C45,Ser/Thr protein kinase family,
P30291,Ser/Thr protein kinase family,Nucleus; Cytoplasm;
P0C1S8,Ser/Thr protein kinase family,Nucleus;
Q9H4A3,Ser/Thr protein kinase family; WNK subfamily,Cytoplasm;
Q9Y3S1,Ser/Thr protein kinase family; WNK subfamily,Cytoplasm; Cell membrane;
Q9BYP7,Ser/Thr protein kinase family; WNK subfamily,Cytoplasm;
Q96J92,Ser/Thr protein kinase family; WNK subfamily,Cell junction; tight junction;
Q86TW2,ADCK protein kinase family,Secreted;
Q7Z695,ADCK protein kinase family,Membrane; Single-pass membrane protein;
Q3MIX3,ADCK protein kinase family,Membrane; Single-pass membrane protein;
Q8NI60,ADCK protein kinase family,Mitochondrion; Membrane; Single-pass membrane protein;
Q96D53,ADCK protein kinase family,Mitochondrion; Mitochondrion membrane; Single-pass membrane protein; Cytoplasm; cytosol; Cell membrane;
Q96QP1,ALPK subfamily,Cytoplasm; cytosol;
Q86TB3,ALPK subfamily,Basolateral cell membrane;
Q96L96,ALPK subfamily,Nucleus;
O00418,,
Q9BX84,ALPK subfamily; LTrpC subfamily,Cell membrane; Multi-pass membrane protein;
Q96QT4,ALPK subfamily; LTrpC subfamily,Membrane; Multi-pass membrane protein;
Q14296,FAST protein kinase family,Mitochondrion; Mitochondrion matrix;
O14874,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q15118,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q15119,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q15120,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q16654,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q13315,ATM subfamily,Nucleus; Cytoplasm; Cytoplasmic vesicle;
Q13535,ATR family; Serpin family; ATM subfamily,Nucleus; PML body; Chromosome;
P42345,,Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane; Mitochondrion; Mitochondrion outer membrane; Lysosome; Nucleus; PML body; Microsome; Lysosome membrane;
P42336,,
P42338,,Cytoplasm; Nucleus;
O00329,,Cytoplasm;
P48736,,Cytoplasm; Cell membrane;
P78527,MCM family,Nucleus; nucleolus;
Q96Q15,,Nucleus; Cytoplasm;
