Kinase Accession,Subcellular Location
p17948,Cell membrane; Single-pass type I membrane protein; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm;
p36888,Membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum lumen;
p35916,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Cytoplasm;
p42685,Cytoplasm; Nucleus;
p06241,Cytoplasm; Nucleus; Cell membrane;
p08631,Lysosome; Lipid-anchor; Membrane; Cell projection; Lipid-anchor; podosome; podosome membrane; Cytoplasm; cytosol; Cell membrane; Lipid-anchor; caveola; Lipid-anchor; Membrane; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Lysosome; Nucleus; caveola; caveola; cytoskeleton; focal adhesion; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cytoplasm; cytosol;
p08069,Cell membrane; Single-pass type I membrane protein;
p06213,Cell membrane; Single-pass type I membrane protein; Late endosome; Lysosome;
p14616,Membrane; Single-pass type I membrane protein;
q08881,Cytoplasm; Nucleus;
p23458,Endomembrane system; Peripheral membrane protein;
o60674,Endomembrane system; Peripheral membrane protein; Cytoplasm; Nucleus;
p52333,Endomembrane system; Peripheral membrane protein; Cytoplasm;
p35968,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Secreted;
p10721,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Mitochondrion; Mitochondrion inner membrane; Multi-pass membrane protein;
p06239,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor;
q8iwu2,Membrane; Multi-pass membrane protein;
q96q04,Membrane; Single-pass membrane protein; axon; Cell projection; Cell projection; dendrite; Golgi apparatus; Golgi apparatus membrane;
p29376,Membrane; Single-pass type I membrane protein;
p07948,Cell membrane; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; Golgi apparatus; Lipid-anchor; Membrane; Golgi apparatus;
p42679,Cytoplasm; Membrane; cytoskeleton;
q12866,Membrane; Single-pass type I membrane protein;
p08581,Membrane; Single-pass type I membrane protein; Secreted;
q04912,Membrane; Single-pass type I membrane protein;
o15146,Cell junction; postsynaptic cell membrane; Single-pass type I membrane protein; synapse; synaptic cell membrane; postsynaptic cell membrane; synaptic cell membrane;
p04629,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Single-pass type I membrane protein; Late endosome; Late endosome membrane; Single-pass type I membrane protein; Recycling endosome; Recycling endosome membrane; Single-pass type I membrane protein; axon;
q16620,Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; axon; Cell projection; Cell projection; dendrite; Cytoplasm; perinuclear region; Cell junction; postsynaptic density; synapse;
q16288,Membrane; Single-pass type I membrane protein;
p16234,Cell membrane; Single-pass type I membrane protein; Cell projection; cilium; Golgi apparatus;
p09619,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Lysosome; Lysosome lumen;
q05397,Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion;
q14289,Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; focal adhesion; Cell projection; lamellipodium; cell cortex; Cytoplasm; Nucleus;
q13882,Cytoplasm; Nucleus; Cell projection; ruffle; Membrane;
q13308,Membrane; Single-pass type I membrane protein; Cell junction;
p07949,Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein;
q01973,Membrane; Single-pass type I membrane protein; axon; Cell projection;
q01974,Cell membrane; Single-pass type I membrane protein; nucleolus; Nucleus;
p08922,Cell membrane; Single-pass type I membrane protein;
p34925,Membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm;
p12931,Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region;
q9h3y6,Cytoplasm;
q6j9g0,Membrane; Single-pass membrane protein;
p43405,Cell membrane; Cytoplasm; cytosol;
p42680,Cytoplasm; Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; cytoskeleton; gem;
q02763,Cell membrane; Single-pass type I membrane protein; Cell junction; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Secreted; cytoskeleton; stress fiber;
p35590,Cell membrane; Single-pass type I membrane protein;
q13470,Cytoplasm; Membrane; Peripheral membrane protein;
q07912,Cell membrane; Nucleus; Endosome; adherens junction; Cell junction; Cytoplasm; Cytoplasmic side; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein; clathrin-coated vesicle; Cytoplasm; Cytoplasmic vesicle; clathrin-coated pit; coated pit; Membrane; Cytoplasm; perinuclear region;
p42681,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein;
p29597,
q06418,Cell membrane; Single-pass type I membrane protein;
p07947,Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytosol;
p43403,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; cytoskeleton; Nucleus;
q2m2i8,Cell membrane; Peripheral membrane protein; clathrin-coated pit; coated pit; Membrane; Cell junction; presynapse; synapse; clathrin-coated pit; coated pit;
o14965,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; cilium; cilium basal body; Cytoplasm; cytoskeleton; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell projection; neuron projection; centrosome; spindle; spindle pole; centrosome; centriole; spindle; spindle pole;
q96gd4,Nucleus; Chromosome; centromere; Chromosome; Cytoplasm; cytoskeleton; spindle; Midbody; centromere; spindle; centromere;
q9uqb9,Nucleus; Chromosome; centromere; Chromosome; Cytoplasm; cytoskeleton; spindle;
q9nsy1,Nucleus;
o43683,Nucleus; centromere; Chromosome; kinetochore; kinetochore; spindle; kinetochore;
o60566,Cytoplasm; Nucleus; centromere; Chromosome; kinetochore; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; kinetochore;
q8n5s9,Cytoplasm; Nucleus;
q96rr4,Nucleus; Cytoplasm; Cell projection; neuron projection;
o00311,Nucleus;
o15111,Cytoplasm; Nucleus;
p68400,Nucleus;
p19784,
q8nev1,
q6xux3,Cytoplasm; Cell membrane; Apical cell membrane; Basolateral cell membrane; Cell junction;
q9bqi3,Cytoplasm;
p19525,Cytoplasm; Nucleus; Cytoplasm; perinuclear region;
q9nzj5,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
q9p2k8,Cytoplasm;
o75460,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
q76mj5,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
o14976,Cytoplasm; perinuclear region; Golgi apparatus; trans-Golgi network; Cell junction; focal adhesion; trans-Golgi network; focal adhesion;
q8tf76,Nucleus; Chromosome; Cytoplasm; cytoskeleton; spindle; spindle;
o14920,Cytoplasm; Nucleus; Membrane; Membrane raft;
q14164,Cytoplasm; Nucleus; Nucleus; PML body;
q8nb16,Cytoplasm; Cell membrane;
p00540,Cell outer membrane; Cytoplasm;
q9uhy1,cell cortex; Cytoplasm; Endomembrane system; Cell projection; lamellipodium;
q9nsy0,Cytoplasm;
q58a45,Cytoplasm; P-body;
q8n165,Nucleus;
q9h792,Cytoplasm; cytoskeleton; Cell junction; focal adhesion;
q99570,Late endosome; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Lipid-anchor; Membrane; autophagosome; phagosome; axon;
q9bxm7,Mitochondrion; Mitochondrion outer membrane; Single-pass membrane protein; Mitochondrion; Mitochondrion inner membrane; Single-pass membrane protein; Mitochondrion; Cytoplasm; cytosol; cytosol;
q504y2,Secreted; Golgi apparatus;
q99640,Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein;
p53350,Nucleus; centromere; Chromosome; kinetochore; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; centrosome; centrosome; kinetochore; kinetochore; kinetochore; spindle; centrosome; spindle; spindle pole; centrosome; spindle; spindle pole;
q9nyy3,centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell projection; dendrite; centriole; centrosome;
q9h4b4,Cytoplasm; Nucleus; nucleolus; Nucleus; Golgi apparatus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Golgi apparatus; centrosome; nucleolus;
o00444,centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; nucleolus; Nucleus; Cleavage furrow; centriole; centriole;
q496m5,nucleolus; Nucleus; Cytoplasm;
q9h5k3,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type II membrane protein;
q86yv5,Cytoplasm; Cell junction; focal adhesion; Nucleus;
q7z7a4,Cytoplasm; Cell membrane; Peripheral membrane protein;
q05823,Cytoplasm; Mitochondrion;
q96s38,Cytoplasm; Membrane; Early endosome;
q9y6s9,
q96lw2,
q52wx2,Cytoplasm;
p0c263,
p0c264,
q96kg9,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment; cis-Golgi network; Golgi apparatus; Endoplasmic reticulum; Cytoplasm; Cytoplasm; Cytoplasm; Cytoplasm; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Cytoplasm; Nucleus;
q6p3w7,Cytoplasm; perinuclear region; clathrin-coated vesicle; Cytoplasm; Cytoplasmic vesicle; Golgi apparatus; trans-Golgi network; trans-Golgi network membrane; Endosome; Endosome membrane; clathrin-coated vesicle; trans-Golgi network;
q8ize3,Cytoplasm; Golgi apparatus; Cell projection; lamellipodium;
o75716,Cytoplasm; perinuclear region; Lipid-anchor; Membrane;
q9bxu1,
q8wu08,Cell membrane; Lipid-anchor;
q9ny57,
q86ux6,
q8tdr2,Nucleus; nucleolus; Nucleus; Cytoplasm; stress fiber;
q9nrp7,Cytoplasm; Nucleus;
q8ne28,
q8tea7,Cytoplasm; Cytoplasm; cytoskeleton; spindle; Midbody; spindle;
q9uhd2,Cytoplasm;
q8iwb6,Cytoplasm; Midbody; centromere; Chromosome; kinetochore;
q9uki8,Nucleus;
q86ue8,Nucleus; Cytoplasm; perinuclear region; Cytoplasm; cytoskeleton; perinuclear region;
q96s44,Cytoplasm; Nucleus;
p33981,
q8tas1,Nucleus;
o75385,Cytoplasm; cytosol; Preautophagosomal structure; autophagosome; phagosome;
q8iyt8,Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein;
q6phr2,Cytoplasm;
q96c45,
p30291,Nucleus; Cytoplasm;
p0c1s8,Nucleus;
q9h4a3,Cytoplasm;
q9y3s1,Cytoplasm; Cell membrane;
q9byp7,Cytoplasm;
q96j92,Cell junction; tight junction; tight junction;
q86tw2,Secreted;
q7z695,Membrane; Single-pass membrane protein;
q3mix3,Membrane; Single-pass membrane protein;
q8ni60,Mitochondrion; Membrane; Single-pass membrane protein;
q96d53,Mitochondrion; Mitochondrion membrane; Single-pass membrane protein; Cytoplasm; cytosol; Cell membrane;
q96qp1,Cytoplasm; cytosol;
q86tb3,Basolateral cell membrane;
q96l96,Nucleus;
o00418,
q9bx84,Cell membrane; Multi-pass membrane protein;
q96qt4,Membrane; Multi-pass membrane protein;
q14296,Mitochondrion; Mitochondrion matrix;
o14874,Mitochondrion; Mitochondrion matrix; Mitochondrion;
q15118,Mitochondrion; Mitochondrion matrix;
q15119,Mitochondrion; Mitochondrion matrix;
q15120,Mitochondrion; Mitochondrion matrix;
q16654,Mitochondrion; Mitochondrion matrix;
q13315,Nucleus; Cytoplasm; Cytoplasmic vesicle;
q13535,Nucleus; Nucleus; PML body; Chromosome;
p42345,Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Lysosome; Cytoplasm; Nucleus; PML body; Microsome; Microsome membrane; Lysosome; Lysosome membrane; Lysosome;
p42336,
p42338,Cytoplasm; Nucleus;
o00329,Cytoplasm;
p48736,Cytoplasm; Cell membrane;
p78527,Nucleus; nucleolus; Nucleus;
q96q15,Nucleus; Cytoplasm;
