Kinase Accession,Subcellular Location
Q96Q40,Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm;
Q00536,Nucleus; Nucleus; Cytoplasm; cytoskeleton; Membrane; Peripheral membrane protein; COPII-coated vesicle; COPII-coated vesicle membrane; Cytoplasm; Cytoplasmic side; Cytoplasmic vesicle; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; cytosol; Cytoplasm; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; synapse; synaptosome; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Nucleus;
Q00537,Cytoplasm; Melanosome;
Q07002,Cytoplasm; Melanosome; Cytoplasm; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centriole; nucleolus; Nucleus; Nucleus; Cytoplasm; Nucleus; PML body; Early endosome; Cytoplasm; cytoskeleton; Cytoplasm; myofibril; sarcomere; Z line; Cytoplasm; cytoskeleton; adherens junction; Cell junction; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein; Apical cell membrane; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; cis-Golgi network; cis-Golgi network membrane; Cytoplasm; Cytoplasmic side; Golgi apparatus; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment; Endoplasmic reticulum-Golgi intermediate compartment membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; spindle; spindle pole; spindle; Cytoplasm; Nucleus;
Q9BWU1,
P24941,Host; Host cytoplasm; Host; Host nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus membrane; Nucleus; Nucleus; Membrane; Single-pass type III membrane protein; Late endosome; Late endosome membrane; Membrane; Membrane raft; Cell membrane; Single-pass type III membrane protein; Cytoplasm; Cytoplasmic vesicle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; spindle; spindle pole; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cell junction; tight junction; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Golgi apparatus; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; spindle; Cytoplasm; Nucleus; Endoplasmic reticulum; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; perinuclear region; nucleoplasm; Nucleus; Cytoplasm; nucleolus; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Nucleus; Cytoplasm; Endosome; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cajal body; Nucleus; Cytoplasm; Endosome; centrosome; Nucleus; Cytoplasm; Nucleus; Chromosome;
Q8IZL9,Nucleus; Cytoplasm; Cell projection; cilium;
Q00526,Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus;
P11802,Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus membrane; Nucleus; Cytoplasm; nucleoplasm; Nucleus; nucleolus; Nucleus; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; perinuclear region; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Membrane; Cytoplasm; Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Cytoplasm; Endosome; Cytoplasm; Nucleus; Nucleus; Nucleus membrane; Cytoplasm; Nucleus; Cytoplasm; Membrane; Cytoplasm;
Q00535,Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cell projection; neuron projection; Nucleus; Cytoplasm; perinuclear region; Perikaryon; perinuclear region; Nucleus; Cytoplasm; cytosol; Nucleus; Nucleus; Cytoplasm; Membrane; Nucleus; Cytoplasm; axon; axon; growth cone; Cytoplasm; Cell membrane; Peripheral membrane protein; Perikaryon; Cell projection; lamellipodium; Cell projection; growth cone; Cell junction; postsynaptic density; synapse; axon; growth cone; Nucleus; Nucleus; Cytoplasm; Endosome; Nucleus; Cytoplasm; Membrane; Cytoplasm;
Q00534,Cytoplasm; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus membrane; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Membrane; Nucleus; Cytoplasm; Nucleus; Cell projection; ruffle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cytosol; centrosome; cytosol; Cytoplasm; Nucleus; Cytoplasm; Endosome; Nucleus;
P50613,Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; perinuclear region; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus membrane; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cajal body; Nucleus; Cytoplasm; Endosome; centrosome;
P49336,Nucleus; Nucleus; Nucleus;
P50750,Cytoplasm; Nucleus; Nucleus; Host; host nucleolus; Host nucleus; nucleolus; Host; Host cytoplasm; Secreted; extracellular space; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Melanosome; Cell membrane; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus; Cytoplasm; Nucleus; PML body; PML body; Nucleus; nucleoplasm; Nucleus; Cytoplasm; nucleoplasm; Nucleus; nucleolus; Nucleus; Cytoplasm; nucleolus; nucleoplasm; Nucleus; Chromosome; Chromosome; Nucleus; Nucleus; PML body; Chromosome;
Q00532,Cytoplasm; Nucleus;
Q92772,Cytoplasm; Nucleus;
Q8IVW4,Nucleus; Nucleus; Nucleus; Cytoplasm; Nucleus; PML body; Early endosome; Cytoplasm; Cytoplasm; cytoskeleton; Cytoplasm; Cytoplasmic side; Nucleus; Nucleus outer membrane; Single-pass type IV membrane protein; Nucleus; Chromosome; telomere; telomere; telomere; spindle; spindle pole; Nucleus; Cytoplasm; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; cis-Golgi network; cis-Golgi network membrane; Cytoplasm; Cytoplasmic side; Golgi apparatus; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment; Endoplasmic reticulum-Golgi intermediate compartment membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; spindle; spindle pole; spindle; Cytoplasm; Cytoplasm; Cytoplasm;
Q5MAI5,Cytoplasm;
O76039,Nucleus; cilium; cilium basal body; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
P49759,Nucleus; Cell projection; ruffle; ruffle membrane; Cytoplasm; perinuclear region; Golgi apparatus; Endoplasmic reticulum; Cell membrane; sarcolemma; Cell projection; ruffle; ruffle membrane; Cytoplasm; perinuclear region; Cytoplasm; Endoplasmic reticulum; Cytoplasm; Endoplasmic reticulum;
P49760,Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus; Nucleus; Cytoplasm; Nucleus; Cell junction; focal adhesion; adherens junction; Cell junction; Cell membrane; Peripheral membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Nucleus; Melanosome; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; extracellular exosome; Secreted; Membrane; Membrane raft; adherens junction; focal adhesion; stress fiber; Nucleus; Cytoplasm; Nucleus; PML body; Early endosome; Nucleus; Nucleus matrix; Nucleus; Nucleus speckle; Cytoplasm; cytoskeleton; Cell projection; ruffle; Cell projection; Cell projection; lamellipodium; Cytoplasm; cytosol; cytoskeleton; Nucleus; Nucleus; Nucleus speckle; Nucleus; Cytoplasm; Mitochondrion; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus speckle; nucleoplasm; Nucleus; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus speckle; Cell membrane; Single-pass type II membrane protein; Nucleus; Cytoplasm; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Nucleus; Nucleus speckle;
P49761,Cell junction; focal adhesion; adherens junction; Cell junction; Cell membrane; Peripheral membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Nucleus; Melanosome; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; extracellular exosome; Secreted; Membrane; Membrane raft; adherens junction; focal adhesion; stress fiber; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus; Nucleus lamina; nucleoplasm; Nucleus; centromere; Chromosome; Nucleus; Chromosome; telomere; telomere; Nucleus; Nucleus matrix; Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus speckle; Nucleus; Cytoplasm; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Nucleus; Nucleus speckle;
Q9HAZ1,Cytoplasm; Nucleus; Nucleus;
Q13627,Nucleus; Cytoplasm; Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Nucleus;
Q9Y463,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Cytoplasm; Nucleus;
Q92630,Nucleus; Cytoplasm; cytoskeleton; spindle; spindle pole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole; centriole; centriole; Nucleus; Nucleus; Nucleus; Cytoplasm; Lysosome; Lysosome membrane; Nucleus; Nucleus; PML body; Cytoplasm; Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus;
O43781,Nucleus; Cytoplasm; Nucleus; Nucleus speckle; Cytoplasm; Cytoplasmic granule; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
Q9NR20,Cytoplasm; Cytoplasm; cytoskeleton; Cytoplasm; cytoskeleton; spindle; spindle; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus;
P49840,
P49841,Cytoplasm; Nucleus; Cell membrane; Membrane; Cytoplasm; Melanosome; Cytoplasm; Lysosome; Cytoplasm; Membrane; Nucleus; Cell junction; synapse; Secreted; Membrane; Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Golgi apparatus; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole; Cytoplasm; cytosol; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; axon; Cell projection; Cell projection; dendrite; axon; cytosol; Cytoplasm; Membrane; Single-pass membrane protein; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Nucleus; Cytoplasm; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Lysosome; Cytoplasm; M line; myofibril; sarcomere; M line; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; centrosome; centrosome; centrosome; centriole; Cytoplasm; centrosome; Nucleus; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Membrane; Membrane raft; Cytoplasm; Nucleus; Nucleus; PML body; Endoplasmic reticulum; Mitochondrion; Mitochondrion matrix; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; Nucleus; Cell junction; synapse; Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle; Cytoplasm; Cytoplasm; cytoskeleton; Mitochondrion; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell junction; postsynaptic density; synapse; centrosome; perinuclear region; centrosome; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole; Nucleus; Cytoplasm; Cytoplasm; Secreted; Secreted; Secreted; Secreted; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; Cell projection; cilium; flagellum; Nucleus; Cytoplasm; Cell projection; cilium; flagellum; Nucleus; Cytoplasm; Cell projection; cilium; flagellum; Nucleus; Cytoplasm; Cell projection; cilium; flagellum; Cytoplasm; Cell membrane; Nucleus; Mitochondrion; Lipid-anchor; Membrane; Cell projection; cilium; flagellum; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; flagellum; acrosome; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Early endosome; Cytoplasm; Nucleus; Membrane; Cell membrane; Golgi apparatus; Cell membrane; Single-pass type I membrane protein; Membrane; Single-pass type I membrane protein; Perikaryon; Cell projection; growth cone; clathrin-coated pit; coated pit; Membrane; Early endosome; Cytoplasm; Cytoplasmic vesicle; Cell surface; clathrin-coated pit; coated pit; extracellular space; growth cone; perinuclear region; Secreted; Cell surface; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; Nucleus; Cytoplasm; Cell membrane; Peripheral membrane protein; Membrane; Cell projection; dendrite; dendrite;
Q86Z02,Cytoplasm; Nucleus; Nucleus; PML body; Endoplasmic reticulum; Mitochondrion; Mitochondrion matrix; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus speckle;
Q9H2X6,Nucleus; Nucleus; Nucleus; Nucleus; PML body; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Chromosome;
Q9H422,Cytoplasm; Nucleus;
Q8NE63,Nucleus; Cytoplasm; cytoskeleton; Membrane; Peripheral membrane protein; Cytoplasm;
Q9UPZ9,Nucleus; Cytoplasm; cytosol; Cell projection; cilium; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted;
P20794,Nucleus; Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; Cell projection; cilium; photoreceptor outer segment; Photoreceptor inner segment; axon; centrosome; spindle; Nucleus; Cytoplasm;
P28482,Cytoplasm; Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic side; Myelin membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Membrane; Single-pass membrane protein; Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Cytoplasm; cytosol; Lipid-anchor; Membrane; Cell membrane; Single-pass type I membrane protein; Cytoplasm; perinuclear region; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole; spindle pole body; Cytoplasm; Nucleus; Membrane; Peripheral membrane protein; centrosome; Membrane; cis-Golgi network; Golgi apparatus; Endoplasmic reticulum; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Cell junction; synapse; Nucleus; Cytoplasm; Nucleus; caveola; Membrane; Nucleus; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; perinuclear region; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cytoplasm; Cytoplasmic vesicle;
P53779,Nucleus; Cytoplasm; Nucleus; Cytoplasm; Lipid-anchor; Membrane; Nucleus; Mitochondrion; cytoskeleton; Nucleus; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cell projection; pseudopodium; Cytoplasm; Cytoplasmic vesicle;
Q15759,Nucleus; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus; PML body; Endoplasmic reticulum; Mitochondrion; Mitochondrion matrix; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm;
P53778,Cytoplasm; Nucleus; Endosome; Cell membrane; Peripheral membrane protein; Cleavage furrow; Midbody; Cytoplasm; Nucleus; Mitochondrion; sarcolemma; Cell membrane; Peripheral membrane protein; adherens junction; Cell junction; Cell projection; lamellipodium; Cytoplasm; Cell junction; postsynapse; synapse; Cell junction; presynapse; synapse; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; Cytoplasm; Cytoplasm; Nucleus; Membrane; Peripheral membrane protein; Basolateral cell membrane; Endoplasmic reticulum; Endoplasmic reticulum membrane; Cell junction; postsynaptic density; synapse; Cell junction; synapse; Cell membrane; sarcolemma; Apical cell membrane; Cell junction; Cytoplasm;
O15264,Cytoplasm; Cell membrane; Golgi apparatus; trans-Golgi network; Cell membrane; Multi-pass membrane protein;
Q16539,Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Nucleus; Cytoplasm; cytosol; Lipid-anchor; Membrane; Cell membrane; Single-pass type I membrane protein; Cytoplasm; perinuclear region; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Cytoplasmic granule; Cytoplasm; P-body; Nucleus; PML body; Cytoplasm; Cytoplasm; Nucleus; caveola; Membrane; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; Nucleus;
Q8TD08,cilium; cilium basal body; Cytoplasm; cytoskeleton; Cell junction; tight junction; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Golgi apparatus; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; spindle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cajal body; Nucleus; Cytoplasm; Endosome; centrosome;
P27361,Cytoplasm; Nucleus; Nucleus; Nucleus envelope; Nucleus; Nucleus membrane; Nucleus; Nucleus matrix; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Peripheral membrane protein; Cell projection; dendrite; Cell junction; synapse; Cell junction; synapse; synaptosome; Cell junction; postsynaptic density; synapse; Membrane; axon; cytoskeleton; dendrite; dendrite; dendritic spine; dendrite; synapse; Cell membrane; Peripheral membrane protein; adherens junction; Cell junction; Cell projection; lamellipodium; Cytoplasm; Cell junction; postsynapse; synapse; Cell junction; presynapse; synapse; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole; spindle pole body; Cytoplasm; Nucleus; Membrane; Peripheral membrane protein; centrosome; Membrane; Cytoplasm; Nucleus; Membrane; Single-pass type I membrane protein; Membrane; Peripheral membrane protein; Cytoplasm; Nucleus; Mitochondrion; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Cell junction; synapse; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; Cytoplasm; Nucleus; caveola; Membrane; cell cortex; Cytoplasm; Cell projection; ruffle; ruffle membrane; Cell projection; growth cone; Cell projection; cilium; stereocilium; Cell junction; synapse; synaptosome; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; Cytoplasm; Cytoplasm; cytoskeleton;
P31152,Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted;
Q16659,Cytoplasm; Nucleus;
Q13164,Cytoplasm; Nucleus; Nucleus; PML body;
P45983,Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Endoplasmic reticulum; Endoplasmic reticulum membrane; Mitochondrion; Mitochondrion membrane; perinuclear region; Nucleus; Cytoplasm; Cytoplasm; Lysosome; Cytoplasm; Cytoplasmic granule; Cytoplasm; Cell membrane; Cell projection; cilium; Golgi apparatus; Nucleus; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; Cell projection; dendrite; spindle; spindle; centrosome; Nucleus; Chromosome; Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Endoplasmic reticulum; Endoplasmic reticulum membrane; Mitochondrion; Mitochondrion membrane; perinuclear region; Mitochondrion; Mitochondrion outer membrane; Cytoplasm; Cytoplasm; Cell membrane;
P45984,Nucleus; Cytoplasm; cytoskeleton; spindle; spindle pole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole; centriole; centriole; Nucleus; Cytoplasm; Mitochondrion; Mitochondrion outer membrane; Cytoplasm; Nucleus; Chromosome; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Midbody; centrosome; spindle; spindle pole; Cytoplasm; Nucleus; Membrane; Single-pass membrane protein; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cell projection; pseudopodium; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Nucleus;
Q9UQ07,Cytoplasm; Cell projection; cilium; Nucleus;
Q9UBE8,Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cytosol; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Secreted; Lysosome;
Q13523,Nucleus; Nucleus; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cell projection; pseudopodium; Cytoplasm; Cytoplasmic vesicle; Host; Host cell; Host cell membrane; Lipid-anchor; Host; Host endosome; host multivesicular body; multivesicular body; Lipid-anchor; Virion; Virion membrane; Host; Host nucleus; Host; Host cytoplasm; Virion; Virion; Nucleus; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cytoplasm; Cytoplasmic vesicle;
Q96SB4,Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Nucleus; Nucleus; Nucleus matrix; Microsome; Cytoplasm; Nucleus; Nucleus matrix; Microsome; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Nucleus speckle; Nucleus; Cytoplasm; Nucleus; Nucleus; PML body; Endoplasmic reticulum; Mitochondrion; Mitochondrion matrix; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; nucleolus; Nucleus; nucleolus; nucleolus; nucleoplasm; Nucleus; Nucleus speckle; nucleoplasm; Nucleus; Nucleus;
P78362,Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Nucleus; Nucleus; Nucleus; Nucleus speckle; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Melanosome; Vacuole; Vacuole membrane; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus speckle; nucleoplasm; Nucleus; Nucleus; Nucleus; Nucleus; Cytoplasm; Nucleus; Nucleus speckle; nucleoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus speckle; Nucleus; Cytoplasm; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Nucleus; Nucleus speckle;
Q9UPE1,Cytoplasm; Nucleus; Nucleus; Nucleus matrix; Microsome; Cytoplasm; Nucleus; Nucleus matrix; Microsome;
Q96PY6,Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Golgi apparatus; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; centrosome; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell membrane;
Q6ZWH5,
